passage_id,corpus,analysis_profile,analysis_reading,granularity,book,start_reference,end_reference,disputed_passage_ids_json,token_count
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_011~1f013ef2e94393cd0284fb583d1d0443c614e7e48bcc1d3219c82e4368eb046b,greek,edition_complete,source,clause,MRK,MRK 16:11,MRK 16:11,"[""mark_longer_ending""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_011~6772c9b419ff411043cc83994ec97b7a021601d3d49c984b1821ed66c728cbd5,greek,edition_complete,source,clause,MRK,MRK 16:11,MRK 16:11,"[""mark_longer_ending""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_011~a31c1fa0fa4ac80de0c2e48980225a94fe21ae7385236d242fb3264dbed5c37c,greek,edition_complete,source,clause,MRK,MRK 16:11,MRK 16:11,"[""mark_longer_ending""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_011~0ff1f1921eecbdfcda1603a13d38f26e10ae97d2fe11a22a56816198c1116823,greek,edition_complete,source,clause,MRK,MRK 16:11,MRK 16:11,"[""mark_longer_ending""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_011~bd9b85896104c96ba64d67f6e40e0ee6b94505bc56a59ce5c25e6882a9d87810,greek,edition_complete,source,clause,MRK,MRK 16:11,MRK 16:11,"[""mark_longer_ending""]",3
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_012~b934ca9b142dec75aecc74a74f6b7e4d1c60f28d82089328ff5f6299019505b1,greek,edition_complete,source,clause,MRK,MRK 16:12,MRK 16:12,"[""mark_longer_ending""]",6
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_012~2ff054deffc5d2a4909e1f61f9bd763b6b7cc5941f78d8a41a4b5d9c6eaa0348,greek,edition_complete,source,clause,MRK,MRK 16:12,MRK 16:12,"[""mark_longer_ending""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_012~395c00509711d4dc386e7ddf385a84b6e042cada184ea58203d683f9b65faa22,greek,edition_complete,source,clause,MRK,MRK 16:12,MRK 16:12,"[""mark_longer_ending""]",4
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_012~5098e67404c7608959bcb480ef1597dc4dd68f0d618f680f8e179dc120a5c88c,greek,edition_complete,source,clause,MRK,MRK 16:12,MRK 16:12,"[""mark_longer_ending""]",3
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_013~12d944415753a2b56a0ffe5156dede8aac896d3b33bd284d5cfb165fd35ca435,greek,edition_complete,source,clause,MRK,MRK 16:13,MRK 16:13,"[""mark_longer_ending""]",4
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_013~7bf50591e3d4d804c2575665fbc108cd5f789215bcbb9dcb23826a5a6efdff0d,greek,edition_complete,source,clause,MRK,MRK 16:13,MRK 16:13,"[""mark_longer_ending""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_013~928012f6848803ebcd23325f5b92291f165684ebbba975c2a35f525c811cd630,greek,edition_complete,source,clause,MRK,MRK 16:13,MRK 16:13,"[""mark_longer_ending""]",3
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_014~261ae948a9070159eaebd2013d0919193ec7d56d603bc03d6f03c2ab6f988d43,greek,edition_complete,source,clause,MRK,MRK 16:14,MRK 16:14,"[""mark_longer_ending""]",5
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_014~b3fd3db8c8c9f29ce60dd40bb0a0695600baf914834218959799ecb102624999,greek,edition_complete,source,clause,MRK,MRK 16:14,MRK 16:14,"[""mark_longer_ending""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_014~1f1567b038e4924f4b0b75a4e33721d1eb7adc1c17b465b865d71fcef0d68520,greek,edition_complete,source,clause,MRK,MRK 16:14,MRK 16:14,"[""mark_longer_ending""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_014~d8269352a1315d6fd1a820fd7701757a12e4f141e3b66e82821231d1dcbdfe8f,greek,edition_complete,source,clause,MRK,MRK 16:14,MRK 16:14,"[""mark_longer_ending""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_014~f4aa167e766df7fba39cf38153533ed9ceff5d9040fcde2aa4bd20cd37ed2684,greek,edition_complete,source,clause,MRK,MRK 16:14,MRK 16:14,"[""mark_longer_ending""]",6
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_014~a5e4a1f9ac5b1243ae1aa64667aa22cd0d03268ef6cda2b937ec9aa2f37dabff,greek,edition_complete,source,clause,MRK,MRK 16:14,MRK 16:14,"[""mark_longer_ending""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_014~efcab585dcb752b2f7a734bb3e34fec8a1a813943c7f70acd8e74125dd7488b8,greek,edition_complete,source,clause,MRK,MRK 16:14,MRK 16:14,"[""mark_longer_ending""]",3
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_014~907f193aecc8e990ea8934733ef1d21da3984380f53b45523439bd5d6b3d9c4a,greek,edition_complete,source,clause,MRK,MRK 16:14,MRK 16:14,"[""mark_longer_ending""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_014~8f757be242ab26641be8d50a55bcf122a44a9ff69018471ccd31628fb38e1646,greek,edition_complete,source,clause,MRK,MRK 16:14,MRK 16:14,"[""mark_longer_ending""]",2
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_015~d2ba49da1f517d535f9ad2b9f1cf22a1e3556610174c6c93f8adc20ad131fff6,greek,edition_complete,source,clause,MRK,MRK 16:15,MRK 16:15,"[""mark_longer_ending""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_015~9710e3fbb294ca02e036955aaee8db45d25a4cc3196cfccf344257d7fc1af5f7,greek,edition_complete,source,clause,MRK,MRK 16:15,MRK 16:15,"[""mark_longer_ending""]",2
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_015~fb16ccf86af87b0d12a1f29ed3e693f36c948c47754966f5d6ae5715d5040dc1,greek,edition_complete,source,clause,MRK,MRK 16:15,MRK 16:15,"[""mark_longer_ending""]",5
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_015~c3c8ad9121ada4cc571ebb636ed73d6da7f208b6f1cc40d268d7de16d03c8423,greek,edition_complete,source,clause,MRK,MRK 16:15,MRK 16:15,"[""mark_longer_ending""]",6
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_016~27426d1438ef1b24695fdcf654e23861754a9060cc9fb4e7bbd0d159f7698091,greek,edition_complete,source,clause,MRK,MRK 16:16,MRK 16:16,"[""mark_longer_ending""]",2
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_016~7a98330860353a24044b620357c8e64c9364e6b2c47e36dd40b5247a8da78dda,greek,edition_complete,source,clause,MRK,MRK 16:16,MRK 16:16,"[""mark_longer_ending""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_016~9ec3d82ef5641a043c09ed9b5ab9ce8945fce80a5f0f71c69d6c0e652a106958,greek,edition_complete,source,clause,MRK,MRK 16:16,MRK 16:16,"[""mark_longer_ending""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_016~51ed5d83247f1909fe14c344f998b9e65c6f63a63c1e331db91a39610b2ca3c4,greek,edition_complete,source,clause,MRK,MRK 16:16,MRK 16:16,"[""mark_longer_ending""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_016~6f2630ff8515b1416fc66d73a72eee6b86ec2aae8f797d1e1324cd370f49c05f,greek,edition_complete,source,clause,MRK,MRK 16:16,MRK 16:16,"[""mark_longer_ending""]",2
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_016~6557c2c02b7fde3d19bc3cc8b1a111d420f8aad9bbfc5a00aa5845463a0399ea,greek,edition_complete,source,clause,MRK,MRK 16:16,MRK 16:16,"[""mark_longer_ending""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_016~78e8c6d63efb4e98d4a9f5d93b0d300d5124aca86b985b5e0c304a15bfe8723f,greek,edition_complete,source,clause,MRK,MRK 16:16,MRK 16:16,"[""mark_longer_ending""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_017~155f9c9bba8d0810de697804c4be4774d637ad626a55a655aef35ef84bca0c4a,greek,edition_complete,source,clause,MRK,MRK 16:17,MRK 16:17,"[""mark_longer_ending""]",4
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_017~efef50e479312fed8b834697a3836b40fefed3920acca4903a3af78b5bf9f7ad,greek,edition_complete,source,clause,MRK,MRK 16:17,MRK 16:17,"[""mark_longer_ending""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_017~475558dbb5e57449d213a483937fc5dd2961f90ac91f3bb5aeb8a1675cf4aa57,greek,edition_complete,source,clause,MRK,MRK 16:17,MRK 16:17,"[""mark_longer_ending""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_017~53d109684945144c36bfb243f132916ac41c6dc75b8bd8af5f13f9512f4e4355,greek,edition_complete,source,clause,MRK,MRK 16:17,MRK 16:17,"[""mark_longer_ending""]",6
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_017~01cbf5432177055deed5e9440e81f15efe6757154a0905ad65a53cc12368bc96,greek,edition_complete,source,clause,MRK,MRK 16:17,MRK 16:17,"[""mark_longer_ending""]",3
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_018~4022d412b466e8c3c8479a1b98b3f10418df30fe9afd0aa13f351c5116eb57ce,greek,edition_complete,source,clause,MRK,MRK 16:18,MRK 16:18,"[""mark_longer_ending""]",2
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_018~d0ac19c8ee4a3773915f3d6b1130996dfd0aabd7072886818336c655a8cdbb0d,greek,edition_complete,source,clause,MRK,MRK 16:18,MRK 16:18,"[""mark_longer_ending""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_018~ba659edebdfbd8607ee5f043501f1a2a02888a6519bad23aa07bd095151acfc4,greek,edition_complete,source,clause,MRK,MRK 16:18,MRK 16:18,"[""mark_longer_ending""]",3
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_018~1b0f30023be621ab4bec1276bc696d27282730f9ffe44f5a5d4650f3b23e62fa,greek,edition_complete,source,clause,MRK,MRK 16:18,MRK 16:18,"[""mark_longer_ending""]",4
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_018~320744cf59d25922614b22a25a109e8fb1f65e1e9a831a469d2a70dc0236c202,greek,edition_complete,source,clause,MRK,MRK 16:18,MRK 16:18,"[""mark_longer_ending""]",4
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_018~5ee71e95068da65034c8b1e98cb4266cbcbf3d908e43d2dde23d6bc0c0dc5af6,greek,edition_complete,source,clause,MRK,MRK 16:18,MRK 16:18,"[""mark_longer_ending""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_018~4654aa6cebb8ce9b7475bf174da219684cd88d917cf264579af56d74f5807107,greek,edition_complete,source,clause,MRK,MRK 16:18,MRK 16:18,"[""mark_longer_ending""]",2
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_019~c20a9296e794cd4c4577a4a5fc4d75e69820ea8cef30e7a60ae867242fff85a2,greek,edition_complete,source,clause,MRK,MRK 16:19,MRK 16:19,"[""mark_longer_ending""]",9
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_019~82fcfce3de96089ace3899617349853dc016446a61edb4aad1b7a315a6e47793,greek,edition_complete,source,clause,MRK,MRK 16:19,MRK 16:19,"[""mark_longer_ending""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_019~7ffa196b683b8095aa4b1281c44f63f1ca92d187e0762abc7661ca9eb833f36a,greek,edition_complete,source,clause,MRK,MRK 16:19,MRK 16:19,"[""mark_longer_ending""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_019~0e7534738bdefbbca2c2e31e396f839a92b1afc96b401b8623f9ba52c7242a3d,greek,edition_complete,source,clause,MRK,MRK 16:19,MRK 16:19,"[""mark_longer_ending""]",2
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_019~fb748b14f4ab24ae4ba2f50294c857a814f78575402c71894851c60bc176dcd7,greek,edition_complete,source,clause,MRK,MRK 16:19,MRK 16:19,"[""mark_longer_ending""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_019~9cf19ea35de2021ed9c7cd538a56c63723d1859d043a41c9ccfca9ab9961c1a6,greek,edition_complete,source,clause,MRK,MRK 16:19,MRK 16:19,"[""mark_longer_ending""]",5
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_020~a34831f2be0efafc241aafb7bc3bc5bf600d709e8f36674a663290cd3156a53f,greek,edition_complete,source,clause,MRK,MRK 16:20,MRK 16:20,"[""mark_longer_ending""]",3
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_020~77d085c0480b1386570b18a07d25fe7ac841bc3efd607f6612694e142eb5aaad,greek,edition_complete,source,clause,MRK,MRK 16:20,MRK 16:20,"[""mark_longer_ending""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_020~a9020f9075348ba168a60d14b26a70699ad3e665eddd65dd423517ebc2ce5f44,greek,edition_complete,source,clause,MRK,MRK 16:20,MRK 16:20,"[""mark_longer_ending""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_020~9a7c5a18d527520405fbb6fac745d6b6ee673e8a3717446983a8d87570e68ccd,greek,edition_complete,source,clause,MRK,MRK 16:20,MRK 16:20,"[""mark_longer_ending""]",3
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_020~9eb1c84d6d4b26796a729ac32a2055e9d7e3cfac363b0085c8ca297ec95c9e45,greek,edition_complete,source,clause,MRK,MRK 16:20,MRK 16:20,"[""mark_longer_ending""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_020~2d2ca594bfc8ff87f44262aba82456f22b71fe22d5fa553edf69ed22cd7a6451,greek,edition_complete,source,clause,MRK,MRK 16:20,MRK 16:20,"[""mark_longer_ending""]",6
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_020~ae28aa99629f5014df0732930a40a1c94e48a78ddd0d7af062858963c9bd9aa4,greek,edition_complete,source,clause,MRK,MRK 16:20,MRK 16:20,"[""mark_longer_ending""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_099~6471f3d19da2d84785d847842a07a51675b41d4d876a02885590c663a5f51953,greek,edition_complete,source,clause,MRK,MRK 16:99,MRK 16:99,"[""mark_alternate_ending""]",8
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_099~ef1df69762e406bf10fcadc59b3ff9f4e733c50fb3021dae6f76d73cf0acfd23,greek,edition_complete,source,clause,MRK,MRK 16:99,MRK 16:99,"[""mark_alternate_ending""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_099~6e337df354c7a69608d26aed0bbc2cff9b98355c22bf54ef23f72ab84b041e81,greek,edition_complete,source,clause,MRK,MRK 16:99,MRK 16:99,"[""mark_alternate_ending""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_099~e57cba8246cfea6f5814892f18172d6e521348d7e2956200484d39ca15203876,greek,edition_complete,source,clause,MRK,MRK 16:99,MRK 16:99,"[""mark_alternate_ending""]",22
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_099~7cc8ce7d6f1c49d6d0060991173520976aa1d6a275509eff0fb6eb3dfb91a101,greek,edition_complete,source,clause,MRK,MRK 16:99,MRK 16:99,"[""mark_alternate_ending""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_JHN_007_053~b3d951fd608245a10f1a37910c0e7bd06b00fdb0a26bf333125d71b606255cec,greek,edition_complete,source,clause,JHN,JHN 7:53,JHN 7:53,"[""pericope_adulterae""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_JHN_007_053~0ec88c2f46c75c2c7f7d739edf646dc0c179e9d93935007d7109dab3921ab06c,greek,edition_complete,source,clause,JHN,JHN 7:53,JHN 7:53,"[""pericope_adulterae""]",6
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_JHN_008_001~938b275d04fa5a018ae79c9027216229800958280b3e089c9604a540f33217a3,greek,edition_complete,source,clause,JHN,JHN 8:1,JHN 8:1,"[""pericope_adulterae""]",7
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_JHN_008_001~e9f5b1671d2881821ab84fb43d23afc4a4a932864d6c4660100bae70f8beeef4,greek,edition_complete,source,clause,JHN,JHN 8:1,JHN 8:1,"[""pericope_adulterae""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_JHN_008_002~0b578c9f4e4cd7197802d3df5dcec89ef1bea0bd10275f5b6fcf248d8b23726e,greek,edition_complete,source,clause,JHN,JHN 8:2,JHN 8:2,"[""pericope_adulterae""]",6
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_JHN_008_002~4a320bacec13d863bdd9e0db8e8a79d820d855bd39fe6054586d38b58fcf099b,greek,edition_complete,source,clause,JHN,JHN 8:2,JHN 8:2,"[""pericope_adulterae""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_JHN_008_002~d46ddf94ce356d37fb0ae09561ca3fd7634bf7f3ea974993264d741171fb1074,greek,edition_complete,source,clause,JHN,JHN 8:2,JHN 8:2,"[""pericope_adulterae""]",2
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_JHN_008_002~02ad41d105418bcc4b7b6b4465549ccb6e89810bf5e58136bdf066d3ff909f62,greek,edition_complete,source,clause,JHN,JHN 8:2,JHN 8:2,"[""pericope_adulterae""]",6
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_JHN_008_002~63836e29d188782882f0cd304effb8a5cc1fac34f025695f1657ca538c238980,greek,edition_complete,source,clause,JHN,JHN 8:2,JHN 8:2,"[""pericope_adulterae""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_JHN_008_002~4f374d29716c36ef1803825c94e7056225e57f7c8cbc5ed98a46f9306d866f64,greek,edition_complete,source,clause,JHN,JHN 8:2,JHN 8:2,"[""pericope_adulterae""]",2
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_JHN_008_003~be9c5c90e75b1139e92eb54029ffc636141239b49cf1b303e41dd7d2277c439c,greek,edition_complete,source,clause,JHN,JHN 8:3,JHN 8:3,"[""pericope_adulterae""]",9
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_JHN_008_003~b958e309b823e22e9ae9620f893f002324a14540b1283ca937d2e0f712e2998e,greek,edition_complete,source,clause,JHN,JHN 8:3,JHN 8:3,"[""pericope_adulterae""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_JHN_008_003~a76ae912025f1a496b8dce2ad4c7bd5568d64365ad96af89c394c1c4bdf569b3,greek,edition_complete,source,clause,JHN,JHN 8:3,JHN 8:3,"[""pericope_adulterae""]",3
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_JHN_008_003~097ef414943634ad36691858fe0cec22bf6aefc6c71929f2316e385e2f7a4888,greek,edition_complete,source,clause,JHN,JHN 8:3,JHN 8:3,"[""pericope_adulterae""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_JHN_008_003~14454aea96cf24425e8ef9fcde58292eeceb0e241a6c153d74d3ae9590f693d8,greek,edition_complete,source,clause,JHN,JHN 8:3,JHN 8:3,"[""pericope_adulterae""]",4
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_JHN_008_004~d06e70ba52adfa9871a96033688a943899983dfe0db9fe7e0f760fb35445a3c6,greek,edition_complete,source,clause,JHN,JHN 8:4,JHN 8:4,"[""pericope_adulterae""]",2
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_JHN_008_004~405c747970805205adb781a19030c68fdeb707baceff6b3c89b0b63191dd90e1,greek,edition_complete,source,clause,JHN,JHN 8:4,JHN 8:4,"[""pericope_adulterae""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_JHN_008_004~a57166cb6890474eea103bac93eadfa58b55ff279afe6aff386c52c86aeeecaa,greek,edition_complete,source,clause,JHN,JHN 8:4,JHN 8:4,"[""pericope_adulterae""]",5
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_JHN_008_004~bc55a461a9e11d1efd6b2d966df9c173191e603bd4eb95b60de251b89278882a,greek,edition_complete,source,clause,JHN,JHN 8:4,JHN 8:4,"[""pericope_adulterae""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_JHN_008_005~ec386c6da5b14950d4446b7df1eed0b258e96133f1d47fcd41dc0c66f35032af,greek,edition_complete,source,clause,JHN,JHN 8:5,JHN 8:5,"[""pericope_adulterae""]",6
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_JHN_008_005~63c42087cb1553373d642a767df238fbae2f70516131ca6d5234c5a973528bdd,greek,edition_complete,source,clause,JHN,JHN 8:5,JHN 8:5,"[""pericope_adulterae""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_JHN_008_005~453779af565b17916297f678f222f7907facc49cd2c50452c3aa61a4f73faca1,greek,edition_complete,source,clause,JHN,JHN 8:5,JHN 8:5,"[""pericope_adulterae""]",3
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_JHN_008_005~ddb593fa59f3684fcd6f510e0d1654c69a793ff288b4504c55d4be8d3f1a2af1,greek,edition_complete,source,clause,JHN,JHN 8:5,JHN 8:5,"[""pericope_adulterae""]",3
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_JHN_008_005~ee8fe53f390f854fba64c95a705bf9542fdf44fb44ec79b27e78bcb37e4e7043,greek,edition_complete,source,clause,JHN,JHN 8:5,JHN 8:5,"[""pericope_adulterae""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_JHN_008_006~8806815bc4ea64ebdfe5de482902ad508c7af98a93071476e043eb5feb6e5455,greek,edition_complete,source,clause,JHN,JHN 8:6,JHN 8:6,"[""pericope_adulterae""]",2
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_JHN_008_006~1e4025893a4c262cc7e3ccd45e61f8019e6255b699cef4326bbd0e10d8902507,greek,edition_complete,source,clause,JHN,JHN 8:6,JHN 8:6,"[""pericope_adulterae""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_JHN_008_006~2cd6be4c2ad83416fb256d0a3fd31f9b4049795fe55be990cc56230364a3b778,greek,edition_complete,source,clause,JHN,JHN 8:6,JHN 8:6,"[""pericope_adulterae""]",2
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_JHN_008_006~295569620f22d662f6235acee763a5038249c783df753cc23d23212bc06feb2f,greek,edition_complete,source,clause,JHN,JHN 8:6,JHN 8:6,"[""pericope_adulterae""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_JHN_008_006~8f38dffebaf84717e36964320cb15811c164a1757c0aa45d36ab588484c042a8,greek,edition_complete,source,clause,JHN,JHN 8:6,JHN 8:6,"[""pericope_adulterae""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_JHN_008_006~9ef4b8112593808d5c7339ae88eba4db9dff6bd55b1c2928fd157e4c04ad4f1c,greek,edition_complete,source,clause,JHN,JHN 8:6,JHN 8:6,"[""pericope_adulterae""]",2
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_JHN_008_006~20cb8d4ae8b07c12ab0b6f9faff6da90603fe935b17a217df9f59429c3cec2c8,greek,edition_complete,source,clause,JHN,JHN 8:6,JHN 8:6,"[""pericope_adulterae""]",8
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_JHN_008_006~82e05bf70e705b0b6c723cf3102dedee9ab9a93e4bb325febb60d6b77fc7b93d,greek,edition_complete,source,clause,JHN,JHN 8:6,JHN 8:6,"[""pericope_adulterae""]",1
