passage_id,corpus,analysis_profile,analysis_reading,granularity,book,start_reference,end_reference,reference_sequence_json,token_count
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_MAT_017_020_MAT_017_025~2d813ebd4ac9cbbea5cd4e06817213f826d27ae632bdcdbd07e249eaad4d4e1e,greek,critical_core,source,five_verse,MAT,MAT 17:20,MAT 17:25,"[""MAT 17:20"",""MAT 17:22"",""MAT 17:23"",""MAT 17:24"",""MAT 17:25""]",115
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_MAT_018_007_MAT_018_012~27eed334aa19bcca6d8c3abe923eec6d9ca9ee35c87589cabd02d4a738cc07fe,greek,critical_core,source,five_verse,MAT,MAT 18:7,MAT 18:12,"[""MAT 18:7"",""MAT 18:8"",""MAT 18:9"",""MAT 18:10"",""MAT 18:12""]",145
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_MAT_018_008_MAT_018_013~8c5d7c391daf9dfac9b761a7251fea0889a57226e5953c5b0e6a98ea13e16439,greek,critical_core,source,five_verse,MAT,MAT 18:8,MAT 18:13,"[""MAT 18:8"",""MAT 18:9"",""MAT 18:10"",""MAT 18:12"",""MAT 18:13""]",146
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_MAT_018_009_MAT_018_014~97757287edffb56b9d470a7c7b1b6218dcb198987c6558c4316ddc317ad115d9,greek,critical_core,source,five_verse,MAT,MAT 18:9,MAT 18:14,"[""MAT 18:9"",""MAT 18:10"",""MAT 18:12"",""MAT 18:13"",""MAT 18:14""]",123
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_MAT_018_010_MAT_018_015~c562b3cbd029305bd2982e259b564d4ad40ad9e6248342b778f53814f456c462,greek,critical_core,source,five_verse,MAT,MAT 18:10,MAT 18:15,"[""MAT 18:10"",""MAT 18:12"",""MAT 18:13"",""MAT 18:14"",""MAT 18:15""]",113
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_MAT_023_010_MAT_023_015~f657e7d2dc4c91b6c9e7a4b3b1b6eaf67161298bc0b00f7b31d4cad08c4ed3f8,greek,critical_core,source,five_verse,MAT,MAT 23:10,MAT 23:15,"[""MAT 23:10"",""MAT 23:11"",""MAT 23:12"",""MAT 23:13"",""MAT 23:15""]",77
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_MAT_023_011_MAT_023_016~d56f0f9e603e3ea23c6f5ed6134b6acbad287453531edcf4d7307522fbbf762a,greek,critical_core,source,five_verse,MAT,MAT 23:11,MAT 23:16,"[""MAT 23:11"",""MAT 23:12"",""MAT 23:13"",""MAT 23:15"",""MAT 23:16""]",91
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_MAT_023_012_MAT_023_017~50bf588d788ef6035dd21c2a870bcf89455ecbab6093667d0035caa20e2ebe65,greek,critical_core,source,five_verse,MAT,MAT 23:12,MAT 23:17,"[""MAT 23:12"",""MAT 23:13"",""MAT 23:15"",""MAT 23:16"",""MAT 23:17""]",100
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_MAT_023_013_MAT_023_018~357981f2223bae66ddbb599d41b3316c34dc25335b1ef0c9d96e1d76aa151421,greek,critical_core,source,five_verse,MAT,MAT 23:13,MAT 23:18,"[""MAT 23:13"",""MAT 23:15"",""MAT 23:16"",""MAT 23:17"",""MAT 23:18""]",110
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_MRK_007_012_MRK_007_017~cf8b2483560bcd702d344bdfc59a48185061747fb8cf8b27eda8ff03d1dd1421,greek,critical_core,source,five_verse,MRK,MRK 7:12,MRK 7:17,"[""MRK 7:12"",""MRK 7:13"",""MRK 7:14"",""MRK 7:15"",""MRK 7:17""]",75
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_MRK_007_013_MRK_007_018~01a2b94125b9ca84779d1c7879345726a8e4f0badba27190ffd9c9e62a9714c2,greek,critical_core,source,five_verse,MRK,MRK 7:13,MRK 7:18,"[""MRK 7:13"",""MRK 7:14"",""MRK 7:15"",""MRK 7:17"",""MRK 7:18""]",87
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_MRK_007_014_MRK_007_019~bde42476c341445b131ed0aa43fbe15217321f6d22c69330c8bb5d373d294632,greek,critical_core,source,five_verse,MRK,MRK 7:14,MRK 7:19,"[""MRK 7:14"",""MRK 7:15"",""MRK 7:17"",""MRK 7:18"",""MRK 7:19""]",92
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_MRK_007_015_MRK_007_020~06235dcc7e7cc85a745ba16e2f5e7a0f01b4bed3f262b3fd9a5539bf8ea73a51,greek,critical_core,source,five_verse,MRK,MRK 7:15,MRK 7:20,"[""MRK 7:15"",""MRK 7:17"",""MRK 7:18"",""MRK 7:19"",""MRK 7:20""]",92
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_MRK_009_040_MRK_009_045~cbee05d2236e973d95adc0cb49337ff2b62ec196c24e50aa7edb4f4897e2ac92,greek,critical_core,source,five_verse,MRK,MRK 9:40,MRK 9:45,"[""MRK 9:40"",""MRK 9:41"",""MRK 9:42"",""MRK 9:43"",""MRK 9:45""]",115
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_MRK_009_041_MRK_009_047~11b68c31afecd08ca2345f100cfe13c3389f83e4c464f8679082f8be6230f414,greek,critical_core,source,five_verse,MRK,MRK 9:41,MRK 9:47,"[""MRK 9:41"",""MRK 9:42"",""MRK 9:43"",""MRK 9:45"",""MRK 9:47""]",133
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_MRK_009_042_MRK_009_048~4ef148bcda4564111d2a4bfa4b87411a23551412c6b24367f1c9733b62994c83,greek,critical_core,source,five_verse,MRK,MRK 9:42,MRK 9:48,"[""MRK 9:42"",""MRK 9:43"",""MRK 9:45"",""MRK 9:47"",""MRK 9:48""]",122
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_MRK_009_043_MRK_009_049~42533bf5f1f709ed7a00e643de5bd23152a58bc7fb73d27fb5e26c7307da74e5,greek,critical_core,source,five_verse,MRK,MRK 9:43,MRK 9:49,"[""MRK 9:43"",""MRK 9:45"",""MRK 9:47"",""MRK 9:48"",""MRK 9:49""]",99
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_MRK_009_045_MRK_009_050~69cc8e13f76905c6828a47ea07f8ff69c930a54d8bc40f2bcec4be218f811ff6,greek,critical_core,source,five_verse,MRK,MRK 9:45,MRK 9:50,"[""MRK 9:45"",""MRK 9:47"",""MRK 9:48"",""MRK 9:49"",""MRK 9:50""]",89
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_MRK_011_022_MRK_011_027~6385a237cccd02528f76926c0733bd19090cc362856043468bfec2157dfcc81c,greek,critical_core,source,five_verse,MRK,MRK 11:22,MRK 11:27,"[""MRK 11:22"",""MRK 11:23"",""MRK 11:24"",""MRK 11:25"",""MRK 11:27""]",101
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_MRK_011_023_MRK_011_028~bfc9701e1706566359996d4c7a7892cf614882c6da10f7eccb066cffd9744847,greek,critical_core,source,five_verse,MRK,MRK 11:23,MRK 11:28,"[""MRK 11:23"",""MRK 11:24"",""MRK 11:25"",""MRK 11:27"",""MRK 11:28""]",110
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_MRK_011_024_MRK_011_029~39ae94a45603259399e7395bf3d0d93a11a6d54fe0763c46a62a1b6454987f29,greek,critical_core,source,five_verse,MRK,MRK 11:24,MRK 11:29,"[""MRK 11:24"",""MRK 11:25"",""MRK 11:27"",""MRK 11:28"",""MRK 11:29""]",99
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_MRK_011_025_MRK_011_030~c615b8da162f6bba6ae083a93ad6efe25458e5b9e3cebb9ffb4d6a424d46c855,greek,critical_core,source,five_verse,MRK,MRK 11:25,MRK 11:30,"[""MRK 11:25"",""MRK 11:27"",""MRK 11:28"",""MRK 11:29"",""MRK 11:30""]",96
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_MRK_015_024_MRK_015_029~8e44ce3b6544ef7ef84932a611edb1e24a6da889955326ca3d85ba69cfcc17b5,greek,critical_core,source,five_verse,MRK,MRK 15:24,MRK 15:29,"[""MRK 15:24"",""MRK 15:25"",""MRK 15:26"",""MRK 15:27"",""MRK 15:29""]",69
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_MRK_015_025_MRK_015_030~0338e9f6a92e1b03e6b426abd47167f5d6168ae90edbc51e03c983cf7589ef96,greek,critical_core,source,five_verse,MRK,MRK 15:25,MRK 15:30,"[""MRK 15:25"",""MRK 15:26"",""MRK 15:27"",""MRK 15:29"",""MRK 15:30""]",60
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_MRK_015_026_MRK_015_031~693feaa3e55c790501e56d266b4ec134ea991dcc3c49c57bcd344a2bea20dce4,greek,critical_core,source,five_verse,MRK,MRK 15:26,MRK 15:31,"[""MRK 15:26"",""MRK 15:27"",""MRK 15:29"",""MRK 15:30"",""MRK 15:31""]",70
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_MRK_015_027_MRK_015_032~c5aa923b1022f975de7a09c1bbaf5a58a66a37bceb5a320b2178648987cbb242,greek,critical_core,source,five_verse,MRK,MRK 15:27,MRK 15:32,"[""MRK 15:27"",""MRK 15:29"",""MRK 15:30"",""MRK 15:31"",""MRK 15:32""]",79
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_LUK_017_032_LUK_017_037~26ce6face73293fd96b9a28db1987f47c90633190cd9e483c09c78b20139353a,greek,critical_core,source,five_verse,LUK,LUK 17:32,LUK 17:37,"[""LUK 17:32"",""LUK 17:33"",""LUK 17:34"",""LUK 17:35"",""LUK 17:37""]",67
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_LUK_017_033_LUK_018_001~ceb64035ce197314e2f45e228ae37577481872c621457ef3580890872dbbe333,greek,critical_core,source,five_verse,LUK,LUK 17:33,LUK 18:1,"[""LUK 17:33"",""LUK 17:34"",""LUK 17:35"",""LUK 17:37"",""LUK 18:1""]",76
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_LUK_017_034_LUK_018_002~285a7a7dfabc29a33123661481a3aafef7703ba8b5211ce88e68dedcbebcc0a3,greek,critical_core,source,five_verse,LUK,LUK 17:34,LUK 18:2,"[""LUK 17:34"",""LUK 17:35"",""LUK 17:37"",""LUK 18:1"",""LUK 18:2""]",76
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_LUK_017_035_LUK_018_003~cb508dcdd8275b3c404fae476b00fc475eeb59443b205cd104a807f8f5bfd430,greek,critical_core,source,five_verse,LUK,LUK 17:35,LUK 18:3,"[""LUK 17:35"",""LUK 17:37"",""LUK 18:1"",""LUK 18:2"",""LUK 18:3""]",77
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_LUK_023_013_LUK_023_018~ae0908850136f49902d52ad90013296461e42c21c072b1de51eda29a597d41ef,greek,critical_core,source,five_verse,LUK,LUK 23:13,LUK 23:18,"[""LUK 23:13"",""LUK 23:14"",""LUK 23:15"",""LUK 23:16"",""LUK 23:18""]",71
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_LUK_023_014_LUK_023_019~aaacfd56702336e6cc1ce80d122798250a65c1488434bd486fe0b72518c815f2,greek,critical_core,source,five_verse,LUK,LUK 23:14,LUK 23:19,"[""LUK 23:14"",""LUK 23:15"",""LUK 23:16"",""LUK 23:18"",""LUK 23:19""]",75
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_LUK_023_015_LUK_023_020~0315a52553c062fbd26083ccc3b91c77db43993aa6860ef03af66f3c4a93dc3c,greek,critical_core,source,five_verse,LUK,LUK 23:15,LUK 23:20,"[""LUK 23:15"",""LUK 23:16"",""LUK 23:18"",""LUK 23:19"",""LUK 23:20""]",56
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_LUK_023_016_LUK_023_021~28627712d47a7ec423d21b409a39532dead130e69a72edbd565b8e027c823898,greek,critical_core,source,five_verse,LUK,LUK 23:16,LUK 23:21,"[""LUK 23:16"",""LUK 23:18"",""LUK 23:19"",""LUK 23:20"",""LUK 23:21""]",47
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_ACT_008_033_ACT_008_038~d4511025f09faad2d7370d0bdcb65326f040b671b3443d05e4b5e899229e7bc0,greek,critical_core,source,five_verse,ACT,ACT 8:33,ACT 8:38,"[""ACT 8:33"",""ACT 8:34"",""ACT 8:35"",""ACT 8:36"",""ACT 8:38""]",98
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_ACT_008_034_ACT_008_039~3c16232ab0a566ac604fe6356d0e455c6a08319bf3d24c34ccaa67064c3073bf,greek,critical_core,source,five_verse,ACT,ACT 8:34,ACT 8:39,"[""ACT 8:34"",""ACT 8:35"",""ACT 8:36"",""ACT 8:38"",""ACT 8:39""]",102
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_ACT_008_035_ACT_008_040~7dde0a4aed66ed0ab275dc2b7d600ebed2b4d2b0dcd46ad8d9a184e0dacb7eec,greek,critical_core,source,five_verse,ACT,ACT 8:35,ACT 8:40,"[""ACT 8:35"",""ACT 8:36"",""ACT 8:38"",""ACT 8:39"",""ACT 8:40""]",98
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_ACT_008_036_ACT_009_001~08020ad7938f0707fffa2875afdbcfe62a18f07102d999cba56172bc95de3b04,greek,critical_core,source,five_verse,ACT,ACT 8:36,ACT 9:1,"[""ACT 8:36"",""ACT 8:38"",""ACT 8:39"",""ACT 8:40"",""ACT 9:1""]",97
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_ACT_015_030_ACT_015_035~712ca8e0578660003d4dc2e2a053a9ca8c0e88e15e51c51aa74288c21846471d,greek,critical_core,source,five_verse,ACT,ACT 15:30,ACT 15:35,"[""ACT 15:30"",""ACT 15:31"",""ACT 15:32"",""ACT 15:33"",""ACT 15:35""]",67
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_ACT_015_031_ACT_015_036~7b1ae84cb84a5fa88a1824297491ecb2dcc80c0f6d15ce8eef141b95da3304d7,greek,critical_core,source,five_verse,ACT,ACT 15:31,ACT 15:36,"[""ACT 15:31"",""ACT 15:32"",""ACT 15:33"",""ACT 15:35"",""ACT 15:36""]",78
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_ACT_015_032_ACT_015_037~a529ed85684562c9aeff25cb275da4af5fa34a394a5400689513f821ef5957e8,greek,critical_core,source,five_verse,ACT,ACT 15:32,ACT 15:37,"[""ACT 15:32"",""ACT 15:33"",""ACT 15:35"",""ACT 15:36"",""ACT 15:37""]",82
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_ACT_015_033_ACT_015_038~c5542f5bfd6073620d1b2442fa9494a236f698735b8d2d1c34e934095cc14da8,greek,critical_core,source,five_verse,ACT,ACT 15:33,ACT 15:38,"[""ACT 15:33"",""ACT 15:35"",""ACT 15:36"",""ACT 15:37"",""ACT 15:38""]",85
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_ACT_024_003_ACT_024_008~7107df43ffa5be251efa90893286e6665cf4f31c8858d92ce21ba98d32de9e4e,greek,critical_core,source,five_verse,ACT,ACT 24:3,ACT 24:8,"[""ACT 24:3"",""ACT 24:4"",""ACT 24:5"",""ACT 24:6"",""ACT 24:8""]",69
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_ACT_024_004_ACT_024_009~ef2305c90f80a93cdef3ab1b004684f33ada511e63eb3569884de2d951a2968b,greek,critical_core,source,five_verse,ACT,ACT 24:4,ACT 24:9,"[""ACT 24:4"",""ACT 24:5"",""ACT 24:6"",""ACT 24:8"",""ACT 24:9""]",68
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_ACT_024_005_ACT_024_010~6c9aaffc01e20a038c8a1405b9c2fc9e4f5de8dc108d1efc6f396a827f5afd62,greek,critical_core,source,five_verse,ACT,ACT 24:5,ACT 24:10,"[""ACT 24:5"",""ACT 24:6"",""ACT 24:8"",""ACT 24:9"",""ACT 24:10""]",77
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_ACT_024_006_ACT_024_011~20a409c8306e88b3e8395cc06d0ab685e81b01321b214a0944daf0294e929436,greek,critical_core,source,five_verse,ACT,ACT 24:6,ACT 24:11,"[""ACT 24:6"",""ACT 24:8"",""ACT 24:9"",""ACT 24:10"",""ACT 24:11""]",71
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_ACT_028_025_ACT_028_030~d678f644151284d342e8db2d09472aaa86522450e46c9b5a4acd08914d18877b,greek,critical_core,source,five_verse,ACT,ACT 28:25,ACT 28:30,"[""ACT 28:25"",""ACT 28:26"",""ACT 28:27"",""ACT 28:28"",""ACT 28:30""]",112
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_ACT_028_026_ACT_028_031~82147b7436bebc8aa355d2cf847acc4956715f9421c0946a99cd77e15118ca7c,greek,critical_core,source,five_verse,ACT,ACT 28:26,ACT 28:31,"[""ACT 28:26"",""ACT 28:27"",""ACT 28:28"",""ACT 28:30"",""ACT 28:31""]",103
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_ROM_016_020_ROM_016_025~0cb53e6a9fdbf2ed3a143f9610a2fbed37b1044f00182f676879bc219e3d836d,greek,critical_core,source,five_verse,ROM,ROM 16:20,ROM 16:25,"[""ROM 16:20"",""ROM 16:21"",""ROM 16:22"",""ROM 16:23"",""ROM 16:25""]",88
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_ROM_016_021_ROM_016_026~2069d8df7a4e2a29dca6ae71ee3ddc439928e7f216db5a28a2b62545233113ba,greek,critical_core,source,five_verse,ROM,ROM 16:21,ROM 16:26,"[""ROM 16:21"",""ROM 16:22"",""ROM 16:23"",""ROM 16:25"",""ROM 16:26""]",86
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_ROM_016_022_ROM_016_027~540e372969f0319d3bb098419d94455221858f3dd1fbaf1933483b8184e5e0c0,greek,critical_core,source,five_verse,ROM,ROM 16:22,ROM 16:27,"[""ROM 16:22"",""ROM 16:23"",""ROM 16:25"",""ROM 16:26"",""ROM 16:27""]",86
P_GNT_CRITICAL_CORE_SOURCE_SENTENCE_ACT_024_005_ACT_024_008~a5315fb61d21efe7ce574e1c9f57200f60d98e7eede66a73be6a70747d7f5a1d,greek,critical_core,source,sentence,ACT,ACT 24:5,ACT 24:8,"[""ACT 24:5"",""ACT 24:6"",""ACT 24:8""]",44
P_GNT_CRITICAL_CORE_SOURCE_TWO_VERSE_MAT_017_020_MAT_017_022~5787e4bb2f54c11b413173ab734c93dfd71c6bf3ed8f71e0ee08a5448ceb2789,greek,critical_core,source,two_verse,MAT,MAT 17:20,MAT 17:22,"[""MAT 17:20"",""MAT 17:22""]",50
P_GNT_CRITICAL_CORE_SOURCE_TWO_VERSE_MAT_018_010_MAT_018_012~701c6ec6a7708320c076e13434c933b38bb5c650b1c90f7eeed8fbdad0642ca3,greek,critical_core,source,two_verse,MAT,MAT 18:10,MAT 18:12,"[""MAT 18:10"",""MAT 18:12""]",54
P_GNT_CRITICAL_CORE_SOURCE_TWO_VERSE_MAT_023_013_MAT_023_015~793dae793e7cfaaf21ce872a2c748f2e29f82178a795b5ce68d9683b9772429c,greek,critical_core,source,two_verse,MAT,MAT 23:13,MAT 23:15,"[""MAT 23:13"",""MAT 23:15""]",50
P_GNT_CRITICAL_CORE_SOURCE_TWO_VERSE_MRK_007_015_MRK_007_017~5db7dd9fec0711380a6594ee9a36197c85e03a304a4db3a7d32bb0aa636fb9cb,greek,critical_core,source,two_verse,MRK,MRK 7:15,MRK 7:17,"[""MRK 7:15"",""MRK 7:17""]",38
P_GNT_CRITICAL_CORE_SOURCE_TWO_VERSE_MRK_009_043_MRK_009_045~37fa762f8923c82ae91ee3fa6b34f372106ad277fd80b800387ccc22b74bbbb9,greek,critical_core,source,two_verse,MRK,MRK 9:43,MRK 9:45,"[""MRK 9:43"",""MRK 9:45""]",57
P_GNT_CRITICAL_CORE_SOURCE_TWO_VERSE_MRK_009_045_MRK_009_047~676a342944c700d45c2daa1fb2b2d3cca020cf6b2eeac7333d1afd392311c851,greek,critical_core,source,two_verse,MRK,MRK 9:45,MRK 9:47,"[""MRK 9:45"",""MRK 9:47""]",53
P_GNT_CRITICAL_CORE_SOURCE_TWO_VERSE_MRK_011_025_MRK_011_027~88903b4e21ff321093ee979e4414ad2603de4ee80e0826c076f155a3df879093,greek,critical_core,source,two_verse,MRK,MRK 11:25,MRK 11:27,"[""MRK 11:25"",""MRK 11:27""]",46
P_GNT_CRITICAL_CORE_SOURCE_TWO_VERSE_MRK_015_027_MRK_015_029~1803b2e933bc9a7e2a4ace3bf03eaf84ae9f59192cb2d6beae8d316239e7ff41,greek,critical_core,source,two_verse,MRK,MRK 15:27,MRK 15:29,"[""MRK 15:27"",""MRK 15:29""]",35
P_GNT_CRITICAL_CORE_SOURCE_TWO_VERSE_LUK_017_035_LUK_017_037~9e60908edadb8201999d4269bc420fc9170798c4fcb8039c85cc7b2a621d0714,greek,critical_core,source,two_verse,LUK,LUK 17:35,LUK 17:37,"[""LUK 17:35"",""LUK 17:37""]",31
