locus_id,source_book_identifier,canonical_book,chapter,verse,kind,resolution_status,unresolved_fields,field_statuses
KQL_1KI_007_023_0015,1Kgs,1KI,7,23,paired,partially_resolved,clause;phrase,clause=missing_primary_structure;phrase=boundary_disagreement;sentence=resolved
KQL_1KI_007_036_0006,1Kgs,1KI,7,36,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1KI_007_045_0010,1Kgs,1KI,7,45,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1KI_008_026_0006,1Kgs,1KI,8,26,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1KI_009_009_0017,1Kgs,1KI,9,9,paired,partially_resolved,clause;phrase,clause=boundary_disagreement;phrase=boundary_disagreement;sentence=resolved
KQL_1KI_010_005_0006,1Kgs,1KI,10,5,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1KI_012_003_0004,1Kgs,1KI,12,3,paired,partially_resolved,clause;phrase,clause=missing_primary_structure;phrase=boundary_disagreement;sentence=resolved
KQL_1KI_012_007_0001,1Kgs,1KI,12,7,paired,partially_resolved,clause;phrase,clause=missing_primary_structure;phrase=boundary_disagreement;sentence=resolved
KQL_1KI_012_012_0001,1Kgs,1KI,12,12,paired,partially_resolved,clause;phrase,clause=missing_primary_structure;phrase=boundary_disagreement;sentence=resolved
KQL_1KI_012_021_0001,1Kgs,1KI,12,21,paired,partially_resolved,clause;phrase,clause=missing_primary_structure;phrase=boundary_disagreement;sentence=resolved
KQL_1KI_012_033_0016,1Kgs,1KI,12,33,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1KI_015_015_0005,1Kgs,1KI,15,15,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1KI_015_018_0014,1Kgs,1KI,15,18,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1KI_016_019_0002,1Kgs,1KI,16,19,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1KI_016_026_0007,1Kgs,1KI,16,26,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1KI_016_034_0011,1Kgs,1KI,16,34,paired,partially_resolved,clause;phrase,clause=boundary_disagreement;phrase=boundary_disagreement;sentence=resolved
KQL_1KI_017_015_0006,1Kgs,1KI,17,15,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1KI_018_036_0021,1Kgs,1KI,18,36,paired,partially_resolved,clause;phrase,clause=boundary_disagreement;phrase=boundary_disagreement;sentence=resolved
KQL_1KI_018_042_0015,1Kgs,1KI,18,42,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1KI_020_041_0005,1Kgs,1KI,20,41,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1KI_022_013_0020,1Kgs,1KI,22,13,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_002_003_0013,1Sam,1SA,2,3,paired,partially_resolved,clause;phrase,clause=missing_primary_structure;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_002_009_0002,1Sam,1SA,2,9,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_002_010_0003,1Sam,1SA,2,10,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_002_010_0005,1Sam,1SA,2,10,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_003_002_0007,1Sam,1SA,3,2,paired,partially_resolved,clause;phrase,clause=missing_primary_structure;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_005_006_0009,1Sam,1SA,5,6,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_005_012_0006,1Sam,1SA,5,12,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_006_005_0003,1Sam,1SA,6,5,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_007_009_0006,1Sam,1SA,7,9,paired,partially_resolved,clause;phrase,clause=missing_primary_structure;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_008_003_0004,1Sam,1SA,8,3,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_009_001_0003,1Sam,1SA,9,1,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_009_026_0009,1Sam,1SA,9,26,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_010_021_0005,1Sam,1SA,10,21,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_011_006_0006,1Sam,1SA,11,6,paired,partially_resolved,clause;phrase,clause=boundary_disagreement;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_011_009_0013,1Sam,1SA,11,9,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_012_010_0004,1Sam,1SA,12,10,paired,partially_resolved,clause;phrase,clause=missing_primary_structure;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_013_008_0001,1Sam,1SA,13,8,paired,partially_resolved,clause;phrase,clause=missing_primary_structure;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_014_027_0022,1Sam,1SA,14,27,paired,partially_resolved,clause;phrase,clause=missing_primary_structure;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_014_032_0001,1Sam,1SA,14,32,paired,partially_resolved,clause;phrase,clause=missing_primary_structure;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_014_032_0005,1Sam,1SA,14,32,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_015_016_0014,1Sam,1SA,15,16,paired,partially_resolved,clause;phrase,clause=missing_primary_structure;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_017_007_0001,1Sam,1SA,17,7,paired,partially_resolved,clause;phrase,clause=missing_primary_structure;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_017_023_0012,1Sam,1SA,17,23,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_018_001_0011,1Sam,1SA,18,1,paired,partially_resolved,clause;phrase,clause=missing_primary_structure;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_018_006_0013,1Sam,1SA,18,6,paired,partially_resolved,clause;phrase,clause=boundary_disagreement;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_018_007_0007,1Sam,1SA,18,7,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_019_018_0020,1Sam,1SA,19,18,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_019_019_0006,1Sam,1SA,19,19,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_019_022_0018,1Sam,1SA,19,22,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_019_023_0018,1Sam,1SA,19,23,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_020_001_0003,1Sam,1SA,20,1,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_020_002_0007,1Sam,1SA,20,2,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_020_038_0013,1Sam,1SA,20,38,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_021_012_0017,1Sam,1SA,21,12,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_021_012_0020,1Sam,1SA,21,12,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_021_014_0007,1Sam,1SA,21,14,paired,partially_resolved,clause;phrase,clause=missing_primary_structure;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_022_013_0002,1Sam,1SA,22,13,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_022_015_0003,1Sam,1SA,22,15,paired,partially_resolved,clause;phrase,clause=boundary_disagreement;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_022_017_0023,1Sam,1SA,22,17,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_022_018_0003,1Sam,1SA,22,18,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_023_005_0003,1Sam,1SA,23,5,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_024_005_0015,1Sam,1SA,24,5,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_024_009_0006,1Sam,1SA,24,9,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_024_019_0001,1Sam,1SA,24,19,paired,partially_resolved,clause;phrase,clause=missing_primary_structure;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_025_034_0013,1Sam,1SA,25,34,paired,partially_resolved,clause;phrase,clause=boundary_disagreement;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_026_005_0028,1Sam,1SA,26,5,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_026_007_0015,1Sam,1SA,26,7,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_026_007_0020,1Sam,1SA,26,7,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_026_011_0014,1Sam,1SA,26,11,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_026_016_0030,1Sam,1SA,26,16,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_027_008_0007,1Sam,1SA,27,8,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_029_005_0013,1Sam,1SA,29,5,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1SA_030_006_0015,1Sam,1SA,30,6,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2CH_003_017_0013,2Chr,2CH,3,17,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2CH_005_013_0003,2Chr,2CH,5,13,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2CH_008_010_0003,2Chr,2CH,8,10,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2CH_017_008_0007,2Chr,2CH,17,8,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2CH_018_033_0016,2Chr,2CH,18,33,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2CH_024_025_0006,2Chr,2CH,24,25,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2CH_025_017_0015,2Chr,2CH,25,17,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2CH_026_007_0006,2Chr,2CH,26,7,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2CH_026_021_0010,2Chr,2CH,26,21,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2CH_029_008_0008,2Chr,2CH,29,8,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2CH_029_013_0005,2Chr,2CH,29,13,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2CH_032_021_0020,2Chr,2CH,32,21,paired,partially_resolved,clause;phrase,clause=missing_primary_structure;phrase=boundary_disagreement;sentence=resolved
KQL_2CH_033_016_0001,2Chr,2CH,33,16,paired,partially_resolved,clause;phrase,clause=missing_primary_structure;phrase=boundary_disagreement;sentence=resolved
KQL_2CH_034_005_0005,2Chr,2CH,34,5,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2CH_034_006_0007,2Chr,2CH,34,6,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2CH_034_009_0026,2Chr,2CH,34,9,paired,partially_resolved,clause;phrase,clause=missing_primary_structure;phrase=boundary_disagreement;sentence=resolved
KQL_2CH_034_025_0004,2Chr,2CH,34,25,paired,partially_resolved,clause;phrase,clause=boundary_disagreement;phrase=boundary_disagreement;sentence=resolved
KQL_2CH_035_003_0003,2Chr,2CH,35,3,paired,partially_resolved,clause;phrase,clause=boundary_disagreement;phrase=boundary_disagreement;sentence=resolved
KQL_2CH_035_009_0001,2Chr,2CH,35,9,paired,partially_resolved,clause;phrase,clause=missing_primary_structure;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_002_016_0026,2Kgs,2KI,2,16,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_003_024_0012,2Kgs,2KI,3,24,paired,partially_resolved,clause;phrase,clause=missing_primary_structure;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_004_002_0011,2Kgs,2KI,4,2,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_004_003_0010,2Kgs,2KI,4,3,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_004_007_0012,2Kgs,2KI,4,7,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_004_007_0015,2Kgs,2KI,4,7,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_004_034_0014,2Kgs,2KI,4,34,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_005_009_0003,2Kgs,2KI,5,9,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_005_018_0023,2Kgs,2KI,5,18,ketiv_only,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_005_025_0009,2Kgs,2KI,5,25,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_006_010_0011,2Kgs,2KI,6,10,paired,partially_resolved,clause;phrase,clause=boundary_disagreement;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_007_012_0023,2Kgs,2KI,7,12,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_007_015_0014,2Kgs,2KI,7,15,paired,partially_resolved,clause;phrase,clause=boundary_disagreement;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_008_010_0006,2Kgs,2KI,8,10,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_009_015_0027,2Kgs,2KI,9,15,paired,partially_resolved,clause;phrase,clause=boundary_disagreement;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_009_025_0004,2Kgs,2KI,9,25,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_009_033_0002,2Kgs,2KI,9,33,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_009_037_0001,2Kgs,2KI,9,37,paired,partially_resolved,clause;phrase,clause=missing_primary_structure;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_010_027_0010,2Kgs,2KI,10,27,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_011_002_0017,2Kgs,2KI,11,2,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_011_004_0008,2Kgs,2KI,11,4,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_011_009_0003,2Kgs,2KI,11,9,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_011_010_0004,2Kgs,2KI,11,10,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_011_015_0006,2Kgs,2KI,11,15,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_011_018_0009,2Kgs,2KI,11,18,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_011_020_0012,2Kgs,2KI,11,20,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_012_010_0013,2Kgs,2KI,12,10,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_012_012_0010,2Kgs,2KI,12,12,paired,partially_resolved,clause;phrase,clause=boundary_disagreement;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_014_012_0007,2Kgs,2KI,14,12,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_014_013_0015,2Kgs,2KI,14,13,paired,partially_resolved,clause;phrase,clause=missing_primary_structure;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_015_025_0011,2Kgs,2KI,15,25,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_016_006_0014,2Kgs,2KI,16,6,paired,partially_resolved,clause;phrase,clause=missing_primary_structure;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_016_015_0001,2Kgs,2KI,16,15,paired,partially_resolved,clause;phrase,clause=missing_primary_structure;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_017_021_0012,2Kgs,2KI,17,21,paired,partially_resolved,clause;phrase,clause=missing_primary_structure;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_018_027_0022,2Kgs,2KI,18,27,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_018_027_0026,2Kgs,2KI,18,27,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_019_023_0006,2Kgs,2KI,19,23,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_021_012_0015,2Kgs,2KI,21,12,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_022_005_0001,2Kgs,2KI,22,5,paired,partially_resolved,clause;phrase,clause=missing_primary_structure;phrase=boundary_disagreement;sentence=resolved
KQL_2KI_023_033_0007,2Kgs,2KI,23,33,paired,partially_resolved,clause;phrase,clause=boundary_disagreement;phrase=boundary_disagreement;sentence=resolved
KQL_2SA_001_008_0005,2Sam,2SA,1,8,paired,partially_resolved,clause;phrase,clause=missing_primary_structure;phrase=boundary_disagreement;sentence=resolved
KQL_2SA_001_011_0003,2Sam,2SA,1,11,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2SA_001_016_0004,2Sam,2SA,1,16,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2SA_002_023_0015,2Sam,2SA,2,23,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2SA_003_002_0001,2Sam,2SA,3,2,paired,partially_resolved,clause;phrase,clause=missing_primary_structure;phrase=boundary_disagreement;sentence=resolved
KQL_2SA_003_003_0003,2Sam,2SA,3,3,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2SA_003_012_0006,2Sam,2SA,3,12,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2SA_003_025_0013,2Sam,2SA,3,25,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2SA_005_002_0012,2Sam,2SA,5,2,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2SA_005_002_0014,2Sam,2SA,5,2,paired,partially_resolved,clause;phrase,clause=boundary_disagreement;phrase=boundary_disagreement;sentence=resolved
KQL_2SA_005_024_0002,2Sam,2SA,5,24,paired,partially_resolved,clause;phrase,clause=boundary_disagreement;phrase=boundary_disagreement;sentence=resolved
KQL_2SA_011_024_0001,2Sam,2SA,11,24,paired,partially_resolved,clause;phrase,clause=missing_primary_structure;phrase=boundary_disagreement;sentence=resolved
KQL_2SA_011_024_0003,2Sam,2SA,11,24,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2SA_012_009_0008,2Sam,2SA,12,9,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2SA_012_020_0007,2Sam,2SA,12,20,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2SA_012_022_0011,2Sam,2SA,12,22,paired,partially_resolved,clause;phrase,clause=boundary_disagreement;phrase=boundary_disagreement;sentence=resolved
KQL_2SA_012_024_0013,2Sam,2SA,12,24,paired,partially_resolved,clause;phrase,clause=missing_primary_structure;phrase=boundary_disagreement;sentence=resolved
KQL_2SA_012_031_0014,2Sam,2SA,12,31,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2SA_013_008_0011,2Sam,2SA,13,8,paired,partially_resolved,clause;phrase,clause=missing_primary_structure;phrase=boundary_disagreement;sentence=resolved
KQL_2SA_013_034_0007,2Sam,2SA,13,34,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2SA_014_011_0008,2Sam,2SA,14,11,paired,partially_resolved,clause;phrase,clause=boundary_disagreement;phrase=boundary_disagreement;sentence=resolved
KQL_2SA_014_022_0026,2Sam,2SA,14,22,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2SA_014_030_0013,2Sam,2SA,14,30,paired,partially_resolved,clause;phrase,clause=boundary_disagreement;phrase=boundary_disagreement;sentence=resolved
KQL_2SA_015_020_0004,2Sam,2SA,15,20,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2SA_015_028_0004,2Sam,2SA,15,28,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_2SA_016_002_0014,2Sam,2SA,16,2,paired,partially_resolved,clause;phrase,clause=boundary_disagreement;phrase=boundary_disagreement;sentence=resolved
