corpus,analysis_profile,analysis_reading,granularity,book,passage_count,membership_rows,reference_gap_count,disputed_passage_count,ketiv_uncertain_count,sensitivity_exclusion_count
greek,critical_core,source,five_verse,1TH,85,7100,0,0,0,0
greek,critical_core,source,five_verse,2TH,43,3803,0,0,0,0
greek,critical_core,source,five_verse,1TI,109,7667,0,0,0,0
greek,critical_core,source,five_verse,2TI,79,5905,0,0,0,0
greek,critical_core,source,five_verse,TIT,42,2977,0,0,0,0
greek,critical_core,source,five_verse,PHM,21,1444,0,0,0,0
greek,critical_core,source,five_verse,HEB,299,24493,0,0,0,0
greek,critical_core,source,five_verse,JAS,104,8410,0,0,0,0
greek,critical_core,source,five_verse,1PE,101,8073,0,0,0,0
greek,critical_core,source,five_verse,2PE,57,5072,0,0,0,0
greek,critical_core,source,five_verse,1JN,101,10268,0,0,0,0
greek,critical_core,source,five_verse,2JN,9,871,0,0,0,0
greek,critical_core,source,five_verse,3JN,11,851,0,0,0,0
greek,critical_core,source,five_verse,JUD,21,1928,0,0,0,0
greek,critical_core,source,five_verse,REV,401,48777,0,0,0,0
greek,critical_core,source,sentence,MAT,1133,18299,0,0,0,0
greek,critical_core,source,sentence,MRK,714,11077,0,0,0,0
greek,critical_core,source,sentence,LUK,1155,19456,0,0,0,0
greek,critical_core,source,sentence,JHN,1024,15453,0,0,0,0
greek,critical_core,source,sentence,ACT,883,18393,1,0,0,0
greek,critical_core,source,sentence,ROM,465,7100,0,0,0,0
greek,critical_core,source,sentence,1CO,524,6820,0,0,0,0
greek,critical_core,source,sentence,2CO,253,4469,0,0,0,0
greek,critical_core,source,sentence,GAL,150,2228,0,0,0,0
greek,critical_core,source,sentence,EPH,78,2419,0,0,0,0
greek,critical_core,source,sentence,PHP,81,1630,0,0,0,0
greek,critical_core,source,sentence,COL,58,1575,0,0,0,0
greek,critical_core,source,sentence,1TH,62,1473,0,0,0,0
greek,critical_core,source,sentence,2TH,34,822,0,0,0,0
greek,critical_core,source,sentence,1TI,89,1588,0,0,0,0
greek,critical_core,source,sentence,2TI,74,1237,0,0,0,0
greek,critical_core,source,sentence,TIT,34,658,0,0,0,0
greek,critical_core,source,sentence,PHM,17,335,0,0,0,0
greek,critical_core,source,sentence,HEB,241,4955,0,0,0,0
greek,critical_core,source,sentence,JAS,133,1739,0,0,0,0
greek,critical_core,source,sentence,1PE,74,1676,0,0,0,0
greek,critical_core,source,sentence,2PE,44,1098,0,0,0,0
greek,critical_core,source,sentence,1JN,144,2136,0,0,0,0
greek,critical_core,source,sentence,2JN,15,245,0,0,0,0
greek,critical_core,source,sentence,3JN,21,219,0,0,0,0
greek,critical_core,source,sentence,JUD,18,457,0,0,0,0
greek,critical_core,source,sentence,REV,466,9832,0,0,0,0
greek,critical_core,source,two_verse,MAT,1067,36569,3,0,0,0
greek,critical_core,source,two_verse,MRK,660,22129,5,0,0,0
greek,critical_core,source,two_verse,LUK,1148,38891,2,0,0,0
greek,critical_core,source,two_verse,JHN,865,30817,0,0,0,0
greek,critical_core,source,two_verse,ACT,1001,36752,4,0,0,0
greek,critical_core,source,two_verse,ROM,431,14175,1,0,0,0
greek,critical_core,source,two_verse,1CO,436,13619,0,0,0,0
greek,critical_core,source,two_verse,2CO,255,8889,0,0,0,0
greek,critical_core,source,two_verse,GAL,148,4423,0,0,0,0
greek,critical_core,source,two_verse,EPH,154,4807,0,0,0,0
greek,critical_core,source,two_verse,PHP,103,3230,0,0,0,0
greek,critical_core,source,two_verse,COL,94,3125,0,0,0,0
greek,critical_core,source,two_verse,1TH,88,2918,0,0,0,0
greek,critical_core,source,two_verse,2TH,46,1618,0,0,0,0
greek,critical_core,source,two_verse,1TI,112,3150,0,0,0,0
greek,critical_core,source,two_verse,2TI,82,2450,0,0,0,0
greek,critical_core,source,two_verse,TIT,45,1282,0,0,0,0
greek,critical_core,source,two_verse,PHM,24,646,0,0,0,0
greek,critical_core,source,two_verse,HEB,302,9893,0,0,0,0
greek,critical_core,source,two_verse,JAS,107,3445,0,0,0,0
greek,critical_core,source,two_verse,1PE,104,3328,0,0,0,0
greek,critical_core,source,two_verse,2PE,60,2153,0,0,0,0
greek,critical_core,source,two_verse,1JN,104,4243,0,0,0,0
greek,critical_core,source,two_verse,2JN,12,457,0,0,0,0
greek,critical_core,source,two_verse,3JN,14,417,0,0,0,0
greek,critical_core,source,two_verse,JUD,24,870,0,0,0,0
greek,critical_core,source,two_verse,REV,404,19629,0,0,0,0
greek,critical_core,source,verse,MAT,1068,18299,0,0,0,0
greek,critical_core,source,verse,MRK,661,11077,0,0,0,0
greek,critical_core,source,verse,LUK,1149,19456,0,0,0,0
greek,critical_core,source,verse,JHN,867,15453,0,0,0,0
greek,critical_core,source,verse,ACT,1002,18393,0,0,0,0
greek,critical_core,source,verse,ROM,432,7100,0,0,0,0
greek,critical_core,source,verse,1CO,437,6820,0,0,0,0
greek,critical_core,source,verse,2CO,256,4469,0,0,0,0
greek,critical_core,source,verse,GAL,149,2228,0,0,0,0
greek,critical_core,source,verse,EPH,155,2419,0,0,0,0
greek,critical_core,source,verse,PHP,104,1630,0,0,0,0
greek,critical_core,source,verse,COL,95,1575,0,0,0,0
greek,critical_core,source,verse,1TH,89,1473,0,0,0,0
greek,critical_core,source,verse,2TH,47,822,0,0,0,0
greek,critical_core,source,verse,1TI,113,1588,0,0,0,0
greek,critical_core,source,verse,2TI,83,1237,0,0,0,0
greek,critical_core,source,verse,TIT,46,658,0,0,0,0
greek,critical_core,source,verse,PHM,25,335,0,0,0,0
greek,critical_core,source,verse,HEB,303,4955,0,0,0,0
greek,critical_core,source,verse,JAS,108,1739,0,0,0,0
greek,critical_core,source,verse,1PE,105,1676,0,0,0,0
greek,critical_core,source,verse,2PE,61,1098,0,0,0,0
greek,critical_core,source,verse,1JN,105,2136,0,0,0,0
greek,critical_core,source,verse,2JN,13,245,0,0,0,0
greek,critical_core,source,verse,3JN,15,219,0,0,0,0
greek,critical_core,source,verse,JUD,25,457,0,0,0,0
greek,critical_core,source,verse,REV,405,9832,0,0,0,0
greek,edition_complete,source,clause,MAT,6496,18299,1,0,0,0
greek,edition_complete,source,clause,MRK,4313,11277,2,73,0,0
greek,edition_complete,source,clause,LUK,7095,19456,1,0,0,0
greek,edition_complete,source,clause,JHN,5820,15643,0,71,0,0
greek,edition_complete,source,clause,ACT,5952,18393,0,0,0,0
greek,edition_complete,source,clause,ROM,2204,7100,4,0,0,0
greek,edition_complete,source,clause,1CO,2488,6820,0,0,0,0
greek,edition_complete,source,clause,2CO,1451,4469,0,0,0,0
greek,edition_complete,source,clause,GAL,750,2228,2,0,0,0
greek,edition_complete,source,clause,EPH,538,2419,0,0,0,0
greek,edition_complete,source,clause,PHP,482,1630,1,0,0,0
greek,edition_complete,source,clause,COL,348,1575,0,0,0,0
greek,edition_complete,source,clause,1TH,421,1473,2,0,0,0
greek,edition_complete,source,clause,2TH,217,822,0,0,0,0
greek,edition_complete,source,clause,1TI,466,1588,0,0,0,0
greek,edition_complete,source,clause,2TI,345,1237,0,0,0,0
greek,edition_complete,source,clause,TIT,163,658,1,0,0,0
greek,edition_complete,source,clause,PHM,79,335,0,0,0,0
greek,edition_complete,source,clause,HEB,1488,4955,3,0,0,0
greek,edition_complete,source,clause,JAS,608,1739,0,0,0,0
greek,edition_complete,source,clause,1PE,480,1676,0,0,0,0
greek,edition_complete,source,clause,2PE,289,1098,0,0,0,0
greek,edition_complete,source,clause,1JN,730,2136,0,0,0,0
greek,edition_complete,source,clause,2JN,73,245,0,0,0,0
greek,edition_complete,source,clause,3JN,79,219,0,0,0,0
greek,edition_complete,source,clause,JUD,125,457,0,0,0,0
greek,edition_complete,source,clause,REV,2716,9832,0,0,0,0
greek,edition_complete,source,five_verse,MAT,1064,91167,12,0,0,0
greek,edition_complete,source,five_verse,MRK,669,55921,17,12,0,0
greek,edition_complete,source,five_verse,LUK,1145,97057,8,0,0,0
greek,edition_complete,source,five_verse,JHN,875,77856,0,16,0,0
greek,edition_complete,source,five_verse,ACT,998,91617,14,0,0,0
greek,edition_complete,source,five_verse,ROM,428,35213,3,0,0,0
greek,edition_complete,source,five_verse,1CO,433,33835,0,0,0,0
greek,edition_complete,source,five_verse,2CO,252,21959,0,0,0,0
greek,edition_complete,source,five_verse,GAL,145,10835,0,0,0,0
greek,edition_complete,source,five_verse,EPH,151,11776,0,0,0,0
greek,edition_complete,source,five_verse,PHP,100,7889,0,0,0,0
greek,edition_complete,source,five_verse,COL,91,7584,0,0,0,0
greek,edition_complete,source,five_verse,1TH,85,7100,0,0,0,0
greek,edition_complete,source,five_verse,2TH,43,3803,0,0,0,0
greek,edition_complete,source,five_verse,1TI,109,7667,0,0,0,0
greek,edition_complete,source,five_verse,2TI,79,5905,0,0,0,0
greek,edition_complete,source,five_verse,TIT,42,2977,0,0,0,0
greek,edition_complete,source,five_verse,PHM,21,1444,0,0,0,0
greek,edition_complete,source,five_verse,HEB,299,24493,0,0,0,0
greek,edition_complete,source,five_verse,JAS,104,8410,0,0,0,0
greek,edition_complete,source,five_verse,1PE,101,8073,0,0,0,0
greek,edition_complete,source,five_verse,2PE,57,5072,0,0,0,0
greek,edition_complete,source,five_verse,1JN,101,10268,0,0,0,0
greek,edition_complete,source,five_verse,2JN,9,871,0,0,0,0
greek,edition_complete,source,five_verse,3JN,11,851,0,0,0,0
greek,edition_complete,source,five_verse,JUD,21,1928,0,0,0,0
greek,edition_complete,source,five_verse,REV,401,48777,0,0,0,0
greek,edition_complete,source,sentence,MAT,1133,18299,0,0,0,0
greek,edition_complete,source,sentence,MRK,727,11277,0,13,0,0
greek,edition_complete,source,sentence,LUK,1155,19456,0,0,0,0
greek,edition_complete,source,sentence,JHN,1038,15643,0,14,0,0
greek,edition_complete,source,sentence,ACT,883,18393,1,0,0,0
greek,edition_complete,source,sentence,ROM,465,7100,0,0,0,0
greek,edition_complete,source,sentence,1CO,524,6820,0,0,0,0
greek,edition_complete,source,sentence,2CO,253,4469,0,0,0,0
greek,edition_complete,source,sentence,GAL,150,2228,0,0,0,0
greek,edition_complete,source,sentence,EPH,78,2419,0,0,0,0
greek,edition_complete,source,sentence,PHP,81,1630,0,0,0,0
greek,edition_complete,source,sentence,COL,58,1575,0,0,0,0
greek,edition_complete,source,sentence,1TH,62,1473,0,0,0,0
greek,edition_complete,source,sentence,2TH,34,822,0,0,0,0
greek,edition_complete,source,sentence,1TI,89,1588,0,0,0,0
greek,edition_complete,source,sentence,2TI,74,1237,0,0,0,0
greek,edition_complete,source,sentence,TIT,34,658,0,0,0,0
greek,edition_complete,source,sentence,PHM,17,335,0,0,0,0
greek,edition_complete,source,sentence,HEB,241,4955,0,0,0,0
greek,edition_complete,source,sentence,JAS,133,1739,0,0,0,0
greek,edition_complete,source,sentence,1PE,74,1676,0,0,0,0
greek,edition_complete,source,sentence,2PE,44,1098,0,0,0,0
greek,edition_complete,source,sentence,1JN,144,2136,0,0,0,0
greek,edition_complete,source,sentence,2JN,15,245,0,0,0,0
greek,edition_complete,source,sentence,3JN,21,219,0,0,0,0
greek,edition_complete,source,sentence,JUD,18,457,0,0,0,0
greek,edition_complete,source,sentence,REV,466,9832,0,0,0,0
greek,edition_complete,source,two_verse,MAT,1067,36569,3,0,0,0
greek,edition_complete,source,two_verse,MRK,672,22465,5,12,0,0
greek,edition_complete,source,two_verse,LUK,1148,38891,2,0,0,0
greek,edition_complete,source,two_verse,JHN,878,31246,0,13,0,0
greek,edition_complete,source,two_verse,ACT,1001,36752,4,0,0,0
greek,edition_complete,source,two_verse,ROM,431,14175,1,0,0,0
greek,edition_complete,source,two_verse,1CO,436,13619,0,0,0,0
greek,edition_complete,source,two_verse,2CO,255,8889,0,0,0,0
greek,edition_complete,source,two_verse,GAL,148,4423,0,0,0,0
greek,edition_complete,source,two_verse,EPH,154,4807,0,0,0,0
greek,edition_complete,source,two_verse,PHP,103,3230,0,0,0,0
greek,edition_complete,source,two_verse,COL,94,3125,0,0,0,0
greek,edition_complete,source,two_verse,1TH,88,2918,0,0,0,0
greek,edition_complete,source,two_verse,2TH,46,1618,0,0,0,0
greek,edition_complete,source,two_verse,1TI,112,3150,0,0,0,0
greek,edition_complete,source,two_verse,2TI,82,2450,0,0,0,0
greek,edition_complete,source,two_verse,TIT,45,1282,0,0,0,0
greek,edition_complete,source,two_verse,PHM,24,646,0,0,0,0
greek,edition_complete,source,two_verse,HEB,302,9893,0,0,0,0
greek,edition_complete,source,two_verse,JAS,107,3445,0,0,0,0
greek,edition_complete,source,two_verse,1PE,104,3328,0,0,0,0
greek,edition_complete,source,two_verse,2PE,60,2153,0,0,0,0
greek,edition_complete,source,two_verse,1JN,104,4243,0,0,0,0
greek,edition_complete,source,two_verse,2JN,12,457,0,0,0,0
greek,edition_complete,source,two_verse,3JN,14,417,0,0,0,0
greek,edition_complete,source,two_verse,JUD,24,870,0,0,0,0
greek,edition_complete,source,two_verse,REV,404,19629,0,0,0,0
greek,edition_complete,source,verse,MAT,1068,18299,0,0,0,0
greek,edition_complete,source,verse,MRK,674,11277,0,13,0,0
greek,edition_complete,source,verse,LUK,1149,19456,0,0,0,0
greek,edition_complete,source,verse,JHN,879,15643,0,12,0,0
greek,edition_complete,source,verse,ACT,1002,18393,0,0,0,0
greek,edition_complete,source,verse,ROM,432,7100,0,0,0,0
greek,edition_complete,source,verse,1CO,437,6820,0,0,0,0
greek,edition_complete,source,verse,2CO,256,4469,0,0,0,0
greek,edition_complete,source,verse,GAL,149,2228,0,0,0,0
greek,edition_complete,source,verse,EPH,155,2419,0,0,0,0
greek,edition_complete,source,verse,PHP,104,1630,0,0,0,0
greek,edition_complete,source,verse,COL,95,1575,0,0,0,0
greek,edition_complete,source,verse,1TH,89,1473,0,0,0,0
greek,edition_complete,source,verse,2TH,47,822,0,0,0,0
greek,edition_complete,source,verse,1TI,113,1588,0,0,0,0
greek,edition_complete,source,verse,2TI,83,1237,0,0,0,0
greek,edition_complete,source,verse,TIT,46,658,0,0,0,0
greek,edition_complete,source,verse,PHM,25,335,0,0,0,0
greek,edition_complete,source,verse,HEB,303,4955,0,0,0,0
greek,edition_complete,source,verse,JAS,108,1739,0,0,0,0
greek,edition_complete,source,verse,1PE,105,1676,0,0,0,0
greek,edition_complete,source,verse,2PE,61,1098,0,0,0,0
greek,edition_complete,source,verse,1JN,105,2136,0,0,0,0
greek,edition_complete,source,verse,2JN,13,245,0,0,0,0
greek,edition_complete,source,verse,3JN,15,219,0,0,0,0
greek,edition_complete,source,verse,JUD,25,457,0,0,0,0
greek,edition_complete,source,verse,REV,405,9832,0,0,0,0
hebrew,critical_core,ketiv,clause,GEN,6646,29127,0,0,4,3
hebrew,critical_core,ketiv,clause,EXO,4707,24047,0,0,10,0
hebrew,critical_core,ketiv,clause,LEV,3491,17583,0,0,5,2
hebrew,critical_core,ketiv,clause,NUM,4276,23436,0,0,2,0
hebrew,critical_core,ketiv,clause,DEU,4238,21717,0,0,20,0
hebrew,critical_core,ketiv,clause,JOS,2534,14741,0,0,12,0
hebrew,critical_core,ketiv,clause,JDG,3119,13911,0,0,7,0
hebrew,critical_core,ketiv,clause,RUT,505,1796,0,0,3,0
hebrew,critical_core,ketiv,clause,1SA,4387,18534,0,0,39,1
hebrew,critical_core,ketiv,clause,2SA,3501,15408,0,0,40,0
hebrew,critical_core,ketiv,clause,1KI,3964,18679,0,0,24,2
hebrew,critical_core,ketiv,clause,2KI,3719,17005,0,0,30,0
hebrew,critical_core,ketiv,clause,1CH,2555,15441,0,0,16,1
hebrew,critical_core,ketiv,clause,2CH,3580,19593,0,0,15,2
hebrew,critical_core,ketiv,clause,EZR,855,5486,0,0,17,0
hebrew,critical_core,ketiv,clause,NEH,1335,7917,0,0,8,0
hebrew,critical_core,ketiv,clause,EST,813,4594,0,0,7,0
hebrew,critical_core,ketiv,clause,JOB,3589,11633,0,0,27,0
hebrew,critical_core,ketiv,clause,PSA,7691,28519,0,0,29,1
hebrew,critical_core,ketiv,clause,PRO,2604,9110,0,0,23,1
hebrew,critical_core,ketiv,clause,ECC,1107,4244,0,0,4,1
hebrew,critical_core,ketiv,clause,SNG,509,1963,0,0,4,0
hebrew,critical_core,ketiv,clause,ISA,6504,23858,0,0,20,1
hebrew,critical_core,ketiv,clause,JER,6951,30763,0,0,56,0
hebrew,critical_core,ketiv,clause,LAM,553,2198,0,0,10,2
hebrew,critical_core,ketiv,clause,EZK,6142,27461,0,0,65,1
hebrew,critical_core,ketiv,clause,DAN,1948,8694,0,0,55,2
hebrew,critical_core,ketiv,clause,HOS,881,3320,0,0,1,0
hebrew,critical_core,ketiv,clause,JOL,335,1340,0,0,0,0
hebrew,critical_core,ketiv,clause,AMO,806,2854,0,0,3,0
hebrew,critical_core,ketiv,clause,OBA,98,408,0,0,3,0
hebrew,critical_core,ketiv,clause,JON,250,974,0,0,0,0
hebrew,critical_core,ketiv,clause,MIC,509,1988,0,0,0,0
hebrew,critical_core,ketiv,clause,NAM,215,772,0,0,3,1
hebrew,critical_core,ketiv,clause,HAB,294,942,0,0,1,0
hebrew,critical_core,ketiv,clause,ZEP,251,1080,0,0,2,0
hebrew,critical_core,ketiv,clause,HAG,172,870,0,0,0,0
hebrew,critical_core,ketiv,clause,ZEC,1085,4444,0,0,3,0
hebrew,critical_core,ketiv,clause,MAL,315,1203,0,0,0,0
hebrew,critical_core,ketiv,five_verse,GEN,1529,161430,0,0,30,0
hebrew,critical_core,ketiv,five_verse,EXO,1209,130166,0,0,55,0
hebrew,critical_core,ketiv,five_verse,LEV,855,94147,0,0,20,0
hebrew,critical_core,ketiv,five_verse,NUM,1285,125808,0,0,25,0
hebrew,critical_core,ketiv,five_verse,DEU,955,115266,0,0,67,0
hebrew,critical_core,ketiv,five_verse,JOS,654,79122,0,0,114,0
hebrew,critical_core,ketiv,five_verse,JDG,614,77133,0,0,64,0
hebrew,critical_core,ketiv,five_verse,RUT,81,9808,0,0,20,0
hebrew,critical_core,ketiv,five_verse,1SA,807,103661,0,0,200,0
hebrew,critical_core,ketiv,five_verse,2SA,691,84825,0,0,237,0
hebrew,critical_core,ketiv,five_verse,1KI,813,101468,0,0,149,0
hebrew,critical_core,ketiv,five_verse,2KI,715,93493,0,0,163,0
hebrew,critical_core,ketiv,five_verse,1CH,939,83301,0,0,94,0
hebrew,critical_core,ketiv,five_verse,2CH,818,106298,0,0,89,0
hebrew,critical_core,ketiv,five_verse,EZR,276,28705,0,0,77,0
hebrew,critical_core,ketiv,five_verse,NEH,401,42270,0,0,50,0
hebrew,critical_core,ketiv,five_verse,EST,163,24046,0,0,39,0
hebrew,critical_core,ketiv,five_verse,JOB,1066,62676,0,0,184,0
hebrew,critical_core,ketiv,five_verse,PSA,2523,150940,0,0,194,0
hebrew,critical_core,ketiv,five_verse,PRO,911,48784,0,0,147,0
hebrew,critical_core,ketiv,five_verse,ECC,218,22412,0,0,25,0
hebrew,critical_core,ketiv,five_verse,SNG,113,9813,0,0,17,0
hebrew,critical_core,ketiv,five_verse,ISA,1287,127885,0,0,125,0
hebrew,critical_core,ketiv,five_verse,JER,1360,164259,0,0,310,0
hebrew,critical_core,ketiv,five_verse,LAM,150,11070,0,0,69,0
hebrew,critical_core,ketiv,five_verse,EZK,1269,148312,0,0,266,0
hebrew,critical_core,ketiv,five_verse,DAN,353,47029,0,0,174,0
hebrew,critical_core,ketiv,five_verse,HOS,193,17759,0,0,5,0
hebrew,critical_core,ketiv,five_verse,JOL,69,6988,0,0,0,0
hebrew,critical_core,ketiv,five_verse,AMO,142,14778,0,0,10,0
hebrew,critical_core,ketiv,five_verse,OBA,17,1772,0,0,5,0
hebrew,critical_core,ketiv,five_verse,JON,44,4972,0,0,0,0
hebrew,critical_core,ketiv,five_verse,MIC,101,10293,0,0,0,0
hebrew,critical_core,ketiv,five_verse,NAM,43,3847,0,0,18,0
hebrew,critical_core,ketiv,five_verse,HAB,52,4744,0,0,5,0
hebrew,critical_core,ketiv,five_verse,ZEP,49,5204,0,0,7,0
hebrew,critical_core,ketiv,five_verse,HAG,34,4118,0,0,5,0
hebrew,critical_core,ketiv,five_verse,ZEC,207,23806,0,0,24,0
hebrew,critical_core,ketiv,five_verse,MAL,51,6258,0,0,0,0
hebrew,critical_core,ketiv,sentence,GEN,1533,32358,0,0,6,0
hebrew,critical_core,ketiv,sentence,EXO,1213,26088,0,0,11,0
hebrew,critical_core,ketiv,sentence,LEV,859,18908,0,0,4,0
hebrew,critical_core,ketiv,sentence,NUM,1289,25248,0,0,5,0
hebrew,critical_core,ketiv,sentence,DEU,959,23148,0,0,19,0
hebrew,critical_core,ketiv,sentence,JOS,658,15925,0,0,24,0
hebrew,critical_core,ketiv,sentence,JDG,618,15523,0,0,15,0
hebrew,critical_core,ketiv,sentence,RUT,85,2035,0,0,6,0
hebrew,critical_core,ketiv,sentence,1SA,811,20825,0,0,49,0
hebrew,critical_core,ketiv,sentence,2SA,695,17076,0,0,58,0
hebrew,critical_core,ketiv,sentence,1KI,817,20391,0,0,31,0
hebrew,critical_core,ketiv,sentence,2KI,719,18786,0,0,38,0
hebrew,critical_core,ketiv,sentence,1CH,943,16714,0,0,20,0
hebrew,critical_core,ketiv,sentence,2CH,822,21379,0,0,19,0
hebrew,critical_core,ketiv,sentence,EZR,280,5827,0,0,19,0
hebrew,critical_core,ketiv,sentence,NEH,405,8543,0,0,12,0
hebrew,critical_core,ketiv,sentence,EST,167,4904,0,0,9,0
hebrew,critical_core,ketiv,sentence,JOB,1070,12609,0,0,39,0
hebrew,critical_core,ketiv,sentence,PSA,2527,30245,0,0,40,0
hebrew,critical_core,ketiv,sentence,PRO,915,9798,0,0,31,0
hebrew,critical_core,ketiv,sentence,ECC,222,4536,0,0,5,0
hebrew,critical_core,ketiv,sentence,SNG,117,2018,0,0,4,0
hebrew,critical_core,ketiv,sentence,ISA,1291,25663,0,0,26,0
hebrew,critical_core,ketiv,sentence,JER,1364,32934,0,0,72,0
hebrew,critical_core,ketiv,sentence,LAM,154,2284,0,0,17,0
hebrew,critical_core,ketiv,sentence,EZK,1273,29746,0,0,70,0
hebrew,critical_core,ketiv,sentence,DAN,357,9489,0,0,54,0
hebrew,critical_core,ketiv,sentence,HOS,197,3640,0,0,1,0
hebrew,critical_core,ketiv,sentence,JOL,73,1459,0,0,0,0
hebrew,critical_core,ketiv,sentence,AMO,146,3055,0,0,2,0
hebrew,critical_core,ketiv,sentence,OBA,21,439,0,0,1,0
hebrew,critical_core,ketiv,sentence,JON,48,1089,0,0,0,0
hebrew,critical_core,ketiv,sentence,MIC,105,2134,0,0,0,0
hebrew,critical_core,ketiv,sentence,NAM,47,844,0,0,4,0
hebrew,critical_core,ketiv,sentence,HAB,56,1017,0,0,1,0
hebrew,critical_core,ketiv,sentence,ZEP,53,1144,0,0,2,0
hebrew,critical_core,ketiv,sentence,HAG,38,927,0,0,1,0
hebrew,critical_core,ketiv,sentence,ZEC,211,4861,0,0,5,0
hebrew,critical_core,ketiv,sentence,MAL,55,1323,0,0,0,0
hebrew,critical_core,ketiv,two_verse,GEN,1532,64686,0,0,12,0
hebrew,critical_core,ketiv,two_verse,EXO,1212,52138,0,0,22,0
hebrew,critical_core,ketiv,two_verse,LEV,858,37788,0,0,8,0
hebrew,critical_core,ketiv,two_verse,NUM,1288,50444,0,0,10,0
hebrew,critical_core,ketiv,two_verse,DEU,958,46242,0,0,33,0
hebrew,critical_core,ketiv,two_verse,JOS,657,31811,0,0,48,0
hebrew,critical_core,ketiv,two_verse,JDG,617,31003,0,0,29,0
hebrew,critical_core,ketiv,two_verse,RUT,84,4027,0,0,11,0
hebrew,critical_core,ketiv,two_verse,1SA,810,41609,0,0,92,0
hebrew,critical_core,ketiv,two_verse,2SA,694,34107,0,0,111,0
hebrew,critical_core,ketiv,two_verse,1KI,816,40741,0,0,62,0
hebrew,critical_core,ketiv,two_verse,2KI,718,37543,0,0,73,0
hebrew,critical_core,ketiv,two_verse,1CH,942,33402,0,0,40,0
hebrew,critical_core,ketiv,two_verse,2CH,821,42693,0,0,37,0
hebrew,critical_core,ketiv,two_verse,EZR,279,11606,0,0,37,0
hebrew,critical_core,ketiv,two_verse,NEH,404,17048,0,0,23,0
hebrew,critical_core,ketiv,two_verse,EST,166,9756,0,0,17,0
hebrew,critical_core,ketiv,two_verse,JOB,1069,25187,0,0,78,0
hebrew,critical_core,ketiv,two_verse,PSA,2526,60462,0,0,80,0
hebrew,critical_core,ketiv,two_verse,PRO,914,19575,0,0,61,0
hebrew,critical_core,ketiv,two_verse,ECC,221,9048,0,0,10,0
hebrew,critical_core,ketiv,two_verse,SNG,116,4013,0,0,8,0
hebrew,critical_core,ketiv,two_verse,ISA,1290,51280,0,0,51,0
hebrew,critical_core,ketiv,two_verse,JER,1363,65830,0,0,137,0
hebrew,critical_core,ketiv,two_verse,LAM,153,4537,0,0,33,0
hebrew,critical_core,ketiv,two_verse,EZK,1272,59450,0,0,128,0
hebrew,critical_core,ketiv,two_verse,DAN,356,18944,0,0,92,0
hebrew,critical_core,ketiv,two_verse,HOS,196,7233,0,0,2,0
hebrew,critical_core,ketiv,two_verse,JOL,72,2899,0,0,0,0
hebrew,critical_core,ketiv,two_verse,AMO,145,6057,0,0,4,0
